Station Name,Measurement Timestamp,Humidity
Oak Street Weather Station,2021-11-25 23:00:00.249176,53
Foster Weather Station,2021-08-08 20:59:59.387470,65
Foster Weather Station,2021-09-27 19:59:59.960782,81
63rd Street Weather Station,2021-11-22 09:59:59.847267,45
63rd Street Weather Station,2021-08-28 20:59:59.684747,68
63rd Street Weather Station,2021-06-30 08:59:59.615963,92
Foster Weather Station,2021-07-03 19:00:00.701963,42
63rd Street Weather Station,2021-10-02 08:59:59.843536,75
Foster Weather Station,2021-12-12 10:00:00.138829,45
Oak Street Weather Station,2021-06-08 22:59:59.758479,93
Foster Weather Station,2021-05-26 16:00:00.866812,29
63rd Street Weather Station,2021-07-05 22:59:59.696327,71
Oak Street Weather Station,2021-10-01 10:59:59.551227,62
63rd Street Weather Station,2021-06-16 18:00:00.873638,64
63rd Street Weather Station,2021-08-04 20:59:59.884023,70
63rd Street Weather Station,2021-10-27 13:00:00.411438,64
Oak Street Weather Station,2021-06-15 08:59:59.560318,78
Foster Weather Station,2021-12-16 13:00:00.353827,54
Oak Street Weather Station,2021-09-23 03:59:59.878921,64
63rd Street Weather Station,2021-11-13 10:00:00.820598,90
63rd Street Weather Station,2021-08-29 15:00:00.568834,56
Oak Street Weather Station,2021-10-28 02:59:59.377326,80
Foster Weather Station,2021-09-26 00:59:59.352213,35
Oak Street Weather Station,2021-09-17 09:00:00.599662,69
Foster Weather Station,2021-07-03 01:59:59.516502,76
Foster Weather Station,2021-09-21 10:00:00.054932,75
Foster Weather Station,2021-09-13 13:00:00.300204,76
Oak Street Weather Station,2021-06-20 22:00:00.153616,86
63rd Street Weather Station,2021-10-03 13:59:59.522221,95
Oak Street Weather Station,2021-12-05 16:59:59.197273,90
63rd Street Weather Station,2021-07-07 16:59:59.911255,97
Oak Street Weather Station,2021-06-16 23:59:59.703187,67
63rd Street Weather Station,2021-07-23 05:59:59.618529,93
Foster Weather Station,2021-08-27 09:59:59.334987,76
Oak Street Weather Station,2021-11-18 11:00:00.301179,50
63rd Street Weather Station,2021-06-14 04:00:00.836469,54
63rd Street Weather Station,2021-06-10 06:00:00.251058,97
63rd Street Weather Station,2021-08-05 21:00:00.156516,52
63rd Street Weather Station,2021-05-26 02:59:59.722598,94
Oak Street Weather Station,2021-10-03 18:59:59.972208,74
Oak Street Weather Station,2021-12-10 23:00:00.733718,92
Oak Street Weather Station,2021-11-12 22:59:59.591267,78
63rd Street Weather Station,2021-06-09 12:00:00.675510,84
63rd Street Weather Station,2021-11-02 20:59:59.549190,52
Oak Street Weather Station,2021-05-23 04:59:59.337748,74
63rd Street Weather Station,2021-06-25 11:59:59.857358,95
Oak Street Weather Station,2021-06-28 03:00:00.752085,86
63rd Street Weather Station,2021-07-02 15:00:00.392514,82
63rd Street Weather Station,2021-08-30 05:59:59.775235,76
Oak Street Weather Station,2021-06-17 10:00:00.820532,41
Oak Street Weather Station,2021-08-09 04:59:59.539040,75
63rd Street Weather Station,2021-09-24 15:00:00.810298,38
Oak Street Weather Station,2021-09-21 20:00:00.625719,67
63rd Street Weather Station,2021-09-28 21:00:00.036781,88
Oak Street Weather Station,2021-11-25 14:00:00.899978,72
Oak Street Weather Station,2021-10-06 18:59:59.221053,92
Oak Street Weather Station,2021-11-04 17:00:00.606746,45
Foster Weather Station,2021-10-28 02:59:59.931970,78
Oak Street Weather Station,2021-11-15 07:59:59.202289,61
Foster Weather Station,2021-06-03 13:59:59.102978,57
Foster Weather Station,2021-11-14 08:59:59.677435,79
Foster Weather Station,2021-05-19 10:59:59.742018,75
Foster Weather Station,2021-08-29 10:59:59.208791,62
63rd Street Weather Station,2021-06-03 23:59:59.271138,41
Foster Weather Station,2021-09-01 11:59:59.441508,57
Oak Street Weather Station,2021-11-03 11:00:00.537612,46
Foster Weather Station,2021-09-02 18:59:59.983205,59
63rd Street Weather Station,2021-12-04 16:59:59.300584,24
63rd Street Weather Station,2021-12-17 15:59:59.333112,76
63rd Street Weather Station,2021-11-20 15:59:59.569847,49
Foster Weather Station,2021-08-30 12:59:59.239994,63
Oak Street Weather Station,2021-11-30 07:59:59.251081,58
Oak Street Weather Station,2021-10-08 06:00:00.026526,93
Foster Weather Station,2021-05-30 21:59:59.311326,64
Oak Street Weather Station,2021-09-11 18:00:00.560345,54
Oak Street Weather Station,2021-11-08 12:59:59.467712,52
Foster Weather Station,2021-06-07 23:59:59.152277,83
Oak Street Weather Station,2021-05-23 00:00:00.784631,63
Oak Street Weather Station,2021-06-23 06:59:59.597138,55
Oak Street Weather Station,2021-07-06 15:00:00.609486,42
Oak Street Weather Station,2021-07-20 03:00:00.353244,60
63rd Street Weather Station,2021-12-05 04:00:00.843148,57
Foster Weather Station,2021-10-02 09:00:00.685580,66
Oak Street Weather Station,2021-07-22 05:00:00.363032,84
Oak Street Weather Station,2021-06-14 13:00:00.362959,69
Oak Street Weather Station,2021-10-17 18:00:00.291715,36
Foster Weather Station,2021-07-15 04:00:00.278631,68
Foster Weather Station,2021-06-22 05:00:00.198169,70
Oak Street Weather Station,2021-05-23 03:59:59.711736,74
Foster Weather Station,2021-11-01 18:59:59.398908,44
Oak Street Weather Station,2021-09-14 18:00:00.582634,49
Foster Weather Station,2021-10-12 13:59:59.396165,78
Oak Street Weather Station,2021-11-15 02:59:59.666393,57
63rd Street Weather Station,2021-06-15 19:00:00.180372,64
Foster Weather Station,2021-08-12 12:00:00.225592,57
Foster Weather Station,2021-11-26 18:59:59.646630,36
Foster Weather Station,2021-10-30 22:00:00.435296,77
Oak Street Weather Station,2021-09-13 22:59:59.848616,82
63rd Street Weather Station,2021-06-28 16:00:00.841637,98
Oak Street Weather Station,2021-12-03 06:59:59.847742,82
63rd Street Weather Station,2021-12-15 22:00:00.020337,82
Foster Weather Station,2021-07-14 21:00:00.441871,65
Foster Weather Station,2021-11-29 07:59:59.612460,43
Foster Weather Station,2021-12-14 09:00:00.313599,70
Foster Weather Station,2021-06-27 04:59:59.844007,83
63rd Street Weather Station,2021-07-15 14:00:00.821897,81
Oak Street Weather Station,2021-11-28 21:00:00.517328,39
Oak Street Weather Station,2021-07-06 21:59:59.822552,59
Foster Weather Station,2021-11-11 19:00:00.757892,52
63rd Street Weather Station,2021-06-09 04:59:59.195132,84
Foster Weather Station,2021-10-04 23:00:00.350436,85
Oak Street Weather Station,2021-07-31 09:59:59.417937,66
Foster Weather Station,2021-05-19 17:59:59.640477,63
Foster Weather Station,2021-06-15 05:00:00.746412,64
63rd Street Weather Station,2021-10-27 11:59:59.793715,69
Oak Street Weather Station,2021-09-02 07:59:59.116942,67
Foster Weather Station,2021-12-03 05:59:59.396102,73
Oak Street Weather Station,2021-06-23 16:00:00.655868,45
Oak Street Weather Station,2021-07-15 09:00:00.129334,82
Foster Weather Station,2021-12-11 22:59:59.914580,56
Oak Street Weather Station,2021-08-09 15:00:00.374855,68
Foster Weather Station,2021-09-28 16:59:59.571583,65
Foster Weather Station,2021-09-09 13:00:00.572162,47
Foster Weather Station,2021-09-07 15:59:59.921424,82
63rd Street Weather Station,2021-09-27 02:59:59.215352,63
Foster Weather Station,2021-12-11 21:59:59.814351,58
Oak Street Weather Station,2021-06-17 10:59:59.782336,47
Oak Street Weather Station,2021-09-20 00:59:59.472413,60
Foster Weather Station,2021-09-13 19:59:59.373494,86
Oak Street Weather Station,2021-10-31 15:59:59.563218,50
Foster Weather Station,2021-11-01 03:59:59.569384,63
Foster Weather Station,2021-12-12 04:59:59.702102,53
63rd Street Weather Station,2021-12-07 07:00:00.888154,54
63rd Street Weather Station,2021-12-08 11:00:00.769317,65
63rd Street Weather Station,2021-08-23 09:00:00.224985,75
Foster Weather Station,2021-11-19 20:59:59.910391,50
Foster Weather Station,2021-08-23 19:00:00.045831,64
Oak Street Weather Station,2021-07-23 11:00:00.005784,55
63rd Street Weather Station,2021-11-09 20:59:59.644588,82
Oak Street Weather Station,2021-07-27 21:00:00.148836,55
Foster Weather Station,2021-10-18 09:00:00.382548,48
Oak Street Weather Station,2021-07-20 13:59:59.903952,61
63rd Street Weather Station,2021-05-20 11:00:00.813003,63
Foster Weather Station,2021-08-17 19:00:00.202376,77
Oak Street Weather Station,2021-05-30 21:59:59.281531,41
Oak Street Weather Station,2021-10-06 11:59:59.445395,91
63rd Street Weather Station,2021-11-01 01:59:59.692091,66
Foster Weather Station,2021-09-27 10:00:00.506524,50
Foster Weather Station,2021-07-12 22:00:00.275363,88
63rd Street Weather Station,2021-09-06 17:59:59.834858,70
Foster Weather Station,2021-07-01 22:00:00.223450,72
Oak Street Weather Station,2021-10-14 21:00:00.609095,53
Oak Street Weather Station,2021-10-13 16:59:59.844107,85
Oak Street Weather Station,2021-10-16 03:59:59.154118,62
Oak Street Weather Station,2021-07-18 09:00:00.850165,87
63rd Street Weather Station,2021-09-11 06:00:00.637361,75
Oak Street Weather Station,2021-10-26 18:59:59.849598,67
Foster Weather Station,2021-07-12 17:59:59.629579,84
63rd Street Weather Station,2021-08-17 00:00:00.520564,79
Oak Street Weather Station,2021-07-15 00:00:00.033974,70
63rd Street Weather Station,2021-09-03 07:59:59.221057,64
Foster Weather Station,2021-12-10 22:00:00.638310,90
Oak Street Weather Station,2021-10-28 14:59:59.933144,83
63rd Street Weather Station,2021-10-07 16:00:00.328315,82
Foster Weather Station,2021-06-12 15:00:00.429985,79
63rd Street Weather Station,2021-08-25 23:00:00.139059,95
Oak Street Weather Station,2021-09-03 00:59:59.382935,64
63rd Street Weather Station,2021-12-02 10:00:00.886933,60
63rd Street Weather Station,2021-11-15 03:59:59.890938,63
Foster Weather Station,2021-11-18 08:00:00.869355,55
Foster Weather Station,2021-08-28 10:00:00.470781,65
63rd Street Weather Station,2021-10-25 18:00:00.465210,77
Foster Weather Station,2021-11-25 15:00:00.209723,66
63rd Street Weather Station,2021-05-18 14:59:59.896451,65
63rd Street Weather Station,2021-08-27 20:00:00.567198,70
Oak Street Weather Station,2021-12-02 05:00:00.203637,58
Oak Street Weather Station,2021-10-27 21:00:00.340731,66
63rd Street Weather Station,2021-05-25 08:59:59.633265,63
63rd Street Weather Station,2021-06-06 17:59:59.729229,53
63rd Street Weather Station,2021-06-05 17:59:59.498882,39
Foster Weather Station,2021-07-30 15:59:59.883714,63
Foster Weather Station,2021-08-19 02:00:00.473924,88
Oak Street Weather Station,2021-06-23 23:59:59.410331,50
63rd Street Weather Station,2021-12-12 02:00:00.483807,65
Foster Weather Station,2021-05-28 03:00:00.528495,76
Foster Weather Station,2021-12-17 17:00:00.393058,70
63rd Street Weather Station,2021-05-26 01:00:00.190650,75
Oak Street Weather Station,2021-11-03 13:59:59.812875,41
Foster Weather Station,2021-11-14 04:00:00.380979,77
Foster Weather Station,2021-07-31 01:00:00.175639,62
Foster Weather Station,2021-12-03 20:59:59.304967,76
Oak Street Weather Station,2021-09-11 19:00:00.802071,53
Oak Street Weather Station,2021-11-04 22:59:59.204517,51
Oak Street Weather Station,2021-08-20 18:00:00.620569,75
Foster Weather Station,2021-08-05 17:59:59.942070,33
Oak Street Weather Station,2021-10-19 06:00:00.046998,62
63rd Street Weather Station,2021-10-31 19:00:00.691226,50
Foster Weather Station,2021-08-17 20:59:59.282420,82
Oak Street Weather Station,2021-08-09 07:00:00.664826,77
63rd Street Weather Station,2021-10-09 06:59:59.440870,97
Oak Street Weather Station,2021-06-13 13:59:59.552832,64
Oak Street Weather Station,2021-10-18 08:59:59.573318,41
Oak Street Weather Station,2021-07-03 21:00:00.608867,54
Oak Street Weather Station,2021-07-29 19:59:59.106228,81
63rd Street Weather Station,2021-08-11 15:00:00.519526,53
Oak Street Weather Station,2021-10-04 19:59:59.776415,87
Oak Street Weather Station,2021-05-17 20:00:00.408532,81
Oak Street Weather Station,2021-07-20 08:00:00.288153,63
Foster Weather Station,2021-09-15 16:00:00.286013,57
Foster Weather Station,2021-09-21 08:59:59.145717,80
63rd Street Weather Station,2021-09-19 20:00:00.620738,89
Foster Weather Station,2021-12-15 16:00:00.104774,77
Foster Weather Station,2021-10-03 00:00:00.483760,83
63rd Street Weather Station,2021-06-15 14:59:59.954334,78
Foster Weather Station,2021-12-10 10:00:00.524147,78
63rd Street Weather Station,2021-06-16 09:00:00.588797,75
Foster Weather Station,2021-09-04 16:00:00.227490,70
63rd Street Weather Station,2021-11-30 22:00:00.284103,57
Foster Weather Station,2021-07-07 13:59:59.534350,83
Foster Weather Station,2021-05-30 06:59:59.741696,65
Oak Street Weather Station,2021-08-06 01:00:00.548261,54
63rd Street Weather Station,2021-05-22 23:59:59.217001,65
Oak Street Weather Station,2021-07-17 08:00:00.398013,89
63rd Street Weather Station,2021-10-28 06:59:59.318524,87
Foster Weather Station,2021-09-04 23:00:00.367599,70
63rd Street Weather Station,2021-11-22 06:59:59.866242,57
Foster Weather Station,2021-07-10 05:00:00.766135,77
Foster Weather Station,2021-09-05 15:59:59.703567,33
Foster Weather Station,2021-06-22 00:00:00.246711,62
Oak Street Weather Station,2021-07-20 16:00:00.676823,62
63rd Street Weather Station,2021-06-12 18:00:00.203181,72
Oak Street Weather Station,2021-06-14 18:00:00.498703,62
Oak Street Weather Station,2021-09-18 01:59:59.342483,76
63rd Street Weather Station,2021-06-25 08:59:59.457398,100
Oak Street Weather Station,2021-08-21 09:00:00.806937,74
