Station Name,Measurement Timestamp,Rain Intensity,Interval Rain,Total Rain
Foster Weather Station,2021-10-27 12:00:00.306488,,0.0,
63rd Street Weather Station,2021-08-16 20:00:00.899326,0.0,0.0,395.3
63rd Street Weather Station,2021-08-05 07:59:59.444452,0.0,0.0,324.2
Foster Weather Station,2021-11-22 19:59:59.583049,,0.0,
Oak Street Weather Station,2021-10-18 23:59:59.258945,0.0,0.0,269.7
63rd Street Weather Station,2021-08-22 12:00:00.845822,0.0,0.0,397.6
Foster Weather Station,2021-08-26 01:59:59.174820,,0.0,
Foster Weather Station,2021-08-27 22:59:59.649403,,0.0,
Foster Weather Station,2021-06-22 21:00:00.210856,,0.0,
Foster Weather Station,2021-06-27 17:00:00.204487,,0.0,
63rd Street Weather Station,2021-06-26 07:00:00.755015,11.4,4.5,88.5
Oak Street Weather Station,2021-06-23 14:59:59.858958,0.0,0.0,34.7
63rd Street Weather Station,2021-09-22 10:59:59.312212,0.0,0.0,518.3
Foster Weather Station,2021-09-08 11:59:59.959748,,0.0,
Foster Weather Station,2021-10-14 01:00:00.408810,,0.0,
Oak Street Weather Station,2021-09-11 05:00:00.059594,0.0,0.0,202.1
Foster Weather Station,2021-11-02 08:00:00.066561,,0.0,
63rd Street Weather Station,2021-10-20 14:00:00.461367,0.0,0.0,654.8
Foster Weather Station,2021-06-28 10:00:00.481051,,0.0,
63rd Street Weather Station,2021-11-14 07:00:00.127200,0.0,0.0,99.7
63rd Street Weather Station,2021-06-28 07:00:00.083370,0.0,0.0,164.9
63rd Street Weather Station,2021-07-17 15:59:59.660554,0.0,0.0,282.9
63rd Street Weather Station,2021-07-14 17:59:59.421003,0.0,0.0,278.4
Foster Weather Station,2021-09-01 06:00:00.719321,,0.0,
Foster Weather Station,2021-06-23 05:00:00.012097,,0.0,
Oak Street Weather Station,2021-09-05 16:59:59.332465,0.0,0.0,199.8
Foster Weather Station,2021-09-17 04:59:59.961883,,0.0,
63rd Street Weather Station,2021-07-07 19:59:59.216901,0.0,0.0,235.7
63rd Street Weather Station,2021-06-29 10:59:59.568820,0.0,15.5,214.4
Foster Weather Station,2021-09-01 05:00:00.113552,,0.0,
Foster Weather Station,2021-11-15 03:59:59.964934,,0.0,
Oak Street Weather Station,2021-08-04 17:00:00.578940,0.0,0.0,146.2
63rd Street Weather Station,2021-09-11 07:00:00.879186,0.0,0.0,498.4
63rd Street Weather Station,2021-08-21 14:00:00.011582,0.0,0.0,395.3
63rd Street Weather Station,2021-07-09 00:00:00.082419,0.0,0.0,235.8
Oak Street Weather Station,2021-05-23 01:59:59.866342,0.0,0.0,22.8
