Station Name,Measurement Timestamp,Air Temperature,Wet Bulb Temperature
Oak Street Weather Station,2021-10-16 03:59:59.802670,10.1,6.7
Foster Weather Station,2021-09-02 22:00:00.857956,22.0,
Foster Weather Station,2021-09-03 17:00:00.752709,22.17,
63rd Street Weather Station,2021-07-20 15:00:00.107627,26.0,22.9
Oak Street Weather Station,2021-06-16 04:59:59.195600,18.2,14.5
63rd Street Weather Station,2021-09-24 00:00:00.801638,14.4,10.0
63rd Street Weather Station,2021-11-29 12:59:59.289557,4.9,0.6
Foster Weather Station,2021-07-23 21:00:00.585249,24.17,
63rd Street Weather Station,2021-07-08 08:00:00.267554,18.5,17.7
63rd Street Weather Station,2021-12-13 19:00:00.015789,7.6,4.9
Oak Street Weather Station,2021-07-31 20:00:00.887160,25.7,19.3
63rd Street Weather Station,2021-12-13 16:59:59.381529,9.0,5.5
Oak Street Weather Station,2021-07-04 17:00:00.029312,28.6,21.4
Foster Weather Station,2021-07-11 03:59:59.572726,19.5,
Oak Street Weather Station,2021-12-01 03:59:59.861531,7.2,4.0
Oak Street Weather Station,2021-07-08 18:59:59.138862,18.1,16.1
63rd Street Weather Station,2021-07-06 22:00:00.843456,28.5,23.4
Oak Street Weather Station,2021-07-06 14:00:00.354943,33.0,23.1
Foster Weather Station,2021-11-14 17:59:59.760088,2.39,
63rd Street Weather Station,2021-10-29 15:59:59.991293,13.6,13.4
Oak Street Weather Station,2021-06-10 23:59:59.753019,21.8,21.0
Foster Weather Station,2021-08-11 17:00:00.450023,31.0,
63rd Street Weather Station,2021-06-17 20:59:59.628098,29.3,19.4
63rd Street Weather Station,2021-05-20 04:59:59.551205,21.3,18.3
Foster Weather Station,2021-06-03 04:59:59.470104,8.78,
Oak Street Weather Station,2021-09-12 01:59:59.975211,24.7,20.2
Oak Street Weather Station,2021-12-06 16:59:59.946839,-2.1,-5.5
Oak Street Weather Station,2021-11-01 00:00:00.088799,7.3,3.6
63rd Street Weather Station,2021-06-22 12:00:00.821979,20.2,12.5
Foster Weather Station,2021-10-20 10:59:59.277663,18.5,
Foster Weather Station,2021-05-29 18:00:00.164168,4.89,
63rd Street Weather Station,2021-07-10 22:59:59.108078,21.3,20.7
