Station Name,Measurement Timestamp,Wind Direction,Wind Speed,Maximum Wind Speed,Heading
Oak Street Weather Station,2021-09-08 11:59:59.932309,345,1.4,2.3,358.0
63rd Street Weather Station,2021-07-11 16:00:00.061869,69,6.4,10.7,351.0
Oak Street Weather Station,2021-06-23 12:00:00.515547,301,0.7,2.1,358.0
63rd Street Weather Station,2021-09-10 07:00:00.063039,240,2.5,3.6,351.0
Oak Street Weather Station,2021-07-07 00:00:00.093723,248,1.3,4.4,358.0
Foster Weather Station,2021-06-09 03:00:00.659495,0,3.3,0.0,
63rd Street Weather Station,2021-10-12 19:00:00.287990,211,0.8,1.1,351.0
Foster Weather Station,2021-08-17 03:59:59.820901,0,3.3,0.0,
Oak Street Weather Station,2021-06-15 16:59:59.463099,41,3.5,4.4,357.0
Foster Weather Station,2021-06-03 21:59:59.831874,0,3.3,0.0,
Oak Street Weather Station,2021-10-05 19:00:00.191947,48,2.9,3.5,357.0
Foster Weather Station,2021-11-10 06:59:59.467673,0,3.3,0.0,
63rd Street Weather Station,2021-08-31 14:59:59.519513,56,2.0,5.1,350.0
Oak Street Weather Station,2021-07-10 19:00:00.306385,82,1.8,2.8,357.0
Oak Street Weather Station,2021-11-19 22:00:00.149932,15,1.2,4.5,357.0
Oak Street Weather Station,2021-09-29 12:00:00.041438,99,2.3,2.8,357.0
63rd Street Weather Station,2021-07-15 12:00:00.731728,255,4.5,6.2,351.0
Oak Street Weather Station,2021-10-03 04:59:59.615827,271,1.3,3.1,358.0
63rd Street Weather Station,2021-07-31 13:00:00.421791,95,2.8,4.7,351.0
Oak Street Weather Station,2021-11-01 02:00:00.535046,271,1.1,2.0,357.0
Oak Street Weather Station,2021-11-28 00:00:00.580839,306,2.2,3.2,357.0
63rd Street Weather Station,2021-05-29 13:59:59.263757,18,7.4,11.3,350.0
Oak Street Weather Station,2021-09-25 18:00:00.521771,279,0.8,1.8,357.0
Foster Weather Station,2021-09-14 23:00:00.729661,0,3.3,0.0,
63rd Street Weather Station,2021-06-09 22:00:00.018120,16,1.2,2.0,351.0
Foster Weather Station,2021-09-03 09:59:59.206904,0,3.3,0.0,
Foster Weather Station,2021-07-09 04:00:00.121733,0,3.3,0.0,
63rd Street Weather Station,2021-11-17 16:59:59.840220,257,1.7,2.8,351.0
Oak Street Weather Station,2021-11-07 02:59:59.430227,299,3.6,6.2,357.0
Foster Weather Station,2021-07-21 10:59:59.308421,0,3.3,0.0,
Foster Weather Station,2021-10-26 04:00:00.575130,0,3.3,0.0,
63rd Street Weather Station,2021-11-09 17:59:59.456038,19,5.3,7.7,351.0
Oak Street Weather Station,2021-06-03 07:59:59.165922,87,0.9,1.3,358.0
63rd Street Weather Station,2021-06-18 04:00:00.737478,191,3.1,4.8,351.0
Foster Weather Station,2021-07-21 17:59:59.673035,0,3.3,0.0,
Oak Street Weather Station,2021-08-25 11:59:59.184687,267,1.7,3.8,358.0
Foster Weather Station,2021-05-31 16:59:59.385573,0,3.3,0.0,
63rd Street Weather Station,2021-05-24 05:00:00.895253,42,1.9,3.7,351.0
Oak Street Weather Station,2021-11-07 08:00:00.368595,296,1.8,4.9,357.0
63rd Street Weather Station,2021-05-25 01:59:59.481097,248,2.9,6.4,351.0
Foster Weather Station,2021-08-11 02:00:00.195123,0,3.3,0.0,
Oak Street Weather Station,2021-07-21 20:59:59.621476,39,2.5,3.0,357.0
Oak Street Weather Station,2021-10-03 22:00:00.575631,10,2.6,3.2,358.0
Oak Street Weather Station,2021-11-05 00:59:59.121626,303,1.1,2.9,357.0
63rd Street Weather Station,2021-10-06 07:59:59.346980,92,2.4,5.1,351.0
Foster Weather Station,2021-10-31 10:59:59.439791,0,3.3,0.0,
Foster Weather Station,2021-09-27 17:00:00.827107,0,3.3,0.0,
Oak Street Weather Station,2021-06-17 09:00:00.610219,23,0.7,1.1,358.0
Oak Street Weather Station,2021-10-18 05:59:59.624329,281,2.2,4.6,357.0
Foster Weather Station,2021-09-20 16:59:59.723212,0,3.3,0.0,
Foster Weather Station,2021-06-02 23:59:59.659339,0,3.3,0.0,
63rd Street Weather Station,2021-08-05 13:00:00.829023,246,3.5,6.9,352.0
63rd Street Weather Station,2021-11-08 01:59:59.537275,240,3.9,7.1,350.0
Oak Street Weather Station,2021-10-19 22:59:59.111842,325,0.7,2.8,358.0
Oak Street Weather Station,2021-05-23 17:59:59.347305,9,1.4,3.4,357.0
Foster Weather Station,2021-12-10 13:00:00.189653,0,3.3,0.0,
63rd Street Weather Station,2021-05-27 05:59:59.999601,68,6.6,10.2,351.0
Oak Street Weather Station,2021-06-24 23:00:00.368051,191,0.8,2.8,357.0
Foster Weather Station,2021-10-11 16:59:59.493236,0,3.3,0.0,
63rd Street Weather Station,2021-08-02 19:59:59.694780,112,1.0,2.1,351.0
Foster Weather Station,2021-12-01 22:00:00.214093,0,3.3,0.0,
Foster Weather Station,2021-05-29 21:59:59.228475,0,3.3,0.0,
